OG0007484	SDCB1_HUMAN	49.23	325	132	6	17	335	1	298	4e-106	  319
OG0004826	SMAD6_MOUSE	44.71	340	157	9	69	396	171	491	5e-79	  258
OG0002039	AHNK_HUMAN	23.68	2373	1302	108	203	2317	3162	5283	1e-40	  171
OG0002039	AHNK_HUMAN	23.53	2469	1286	112	230	2327	586	2823	2e-38	  163
OG0002039	AHNK_HUMAN	24.09	1972	1093	91	203	1991	3816	5566	6e-31	  138
OG0002039	AHNK_HUMAN	23.73	2360	1318	112	273	2319	370	2560	1e-29	  134
OG0002039	AHNK_HUMAN	22.71	2184	1235	93	254	2208	3718	5677	1e-27	  127
OG0002039	AHNK_HUMAN	24.67	1147	621	57	231	1274	4714	5720	7e-05	52.8
OG0009706	COPD_HUMAN	57.92	518	208	4	44	559	1	510	0.0	  621
OG0000166	ABLM2_HUMAN	55.28	246	106	3	198	443	22	263	2e-93	  315
OG0000166	ABLM2_HUMAN	52.31	65	28	1	904	965	547	611	8e-11	69.7
OG0004163	AGRIN_CHICK	35.71	308	175	10	2	293	1616	1916	1e-51	  197
OG0004163	AGRIN_CHICK	33.88	245	148	8	12	250	1369	1605	4e-27	  120
OG0004163	AGRIN_CHICK	36.31	157	94	4	414	567	1926	2079	1e-23	  109
OG0004163	AGRIN_CHICK	42.73	110	58	3	414	523	1409	1513	2e-15	84.0
OG0004163	AGRIN_CHICK	26.67	210	124	6	10	191	1854	2061	2e-11	71.2
OG0004163	AGRIN_CHICK	24.48	143	97	4	417	552	1678	1816	3e-06	54.3
OG0000526	CIC_HUMAN	59.44	143	51	2	1342	1477	140	282	2e-47	  191
OG0003632	AXIN1_DANRE	32.85	478	234	18	53	492	78	506	2e-48	  189
OG0003632	AXIN1_DANRE	43.90	82	44	1	903	982	754	835	2e-13	78.6
OG0003200	PUF68_DROME	50.30	664	250	11	28	660	23	637	3e-180	  533
OG0003085	IF172_HUMAN	61.27	958	365	3	1	958	1	952	0.0	 1266
OG0003085	IF172_HUMAN	23.88	289	193	6	681	958	968	1240	9e-07	57.0
OG0002214	SQRD_HUMAN	57.49	414	175	1	62	475	37	449	1e-177	  513
OG0003113	AP1M1_RAT	80.97	431	73	2	1	430	1	423	0.0	  724
OG0000931	LRP1_HUMAN	43.44	3064	1553	61	12	2976	1192	4174	0.0	 2468
OG0000931	LRP1_HUMAN	29.97	1495	850	49	743	2172	216	1578	2e-170	  597
OG0000931	LRP1_HUMAN	32.70	1254	693	43	999	2167	2992	4179	5e-163	  573
OG0000931	LRP1_HUMAN	35.86	672	367	27	1888	2519	555	1202	2e-93	  345
OG0000931	LRP1_HUMAN	32.28	790	429	29	2262	2974	806	1566	2e-88	  328
OG0000931	LRP1_HUMAN	28.95	753	472	25	6	717	114	844	2e-83	  311
